Police Station,Year,Type,Date,Time,Place,Latitude,Longitude
C K Achuktu,2015,2 wheeler theft,10/2/2015,3:00:00 PM,"INFRONT OF SRINIDHI RICE N NICE, 10th B. MAIN,4th BLOCK, JAYANAGAR",12.554571,77.351017
Siddapura,2016,Assault,12/12/2016,5:30,"2nd floor, No.10, 9th
Main Road,, 5th Block
Jayanagar, Bengaluru City,",12.554571,77.351017
Banashankari,2017,Attempted Murder,5/2/2017,22:00,"Near Srinidi Condiments, Kalappa Blcok, Sri Nagar, Bengaluru 50",12.5546,77.3403
K G Nagar,2018,2 wheeler theft,2/4/2018,21:00 PM,"No-297/11,2nd main,teachers colony,BSK 3rd stg, Bengluru-85,",12.554616,77.334577
Jayanagar,2015,2 wheeler theft,7/3/2015,8:30:00 PM,"Infront of No.6/A, 5th Cross, Raghavendraswamy, Mt Road, Hosakerehalli, BSK
3rd Stage, Bengaluru City, Karnaka, 560085",12.554677,77.321516
C K Achuktu,2016,2 wheeler theft,14/03/2016,5:30:00 PM,"Beside Building of No 129, 6th C Main Road,27th Cross, 4th Block, Jayanagara",12.55474,77.350605
Subramanyapura,2019,Assault,20/05/2019,10:30,"INFRONT OF NMKRV
COLLEGE, 22ND CROSS,
NEAR EMPIRA HOTEL,
3RD BLOCK JAYANAGAR,
Bengaluru City,",12.55474,77.350605
K G Nagar,2018,2 wheeler theft,30/08/2018,15:00 PM,"ADB hotel,kreguppe,BSK 3rd stg, Bengluru-85,",12.5548,77.330667
K G Nagar,2017,2 wheeler theft,19/09/2017,10:30:00 AM,"No, 20, 1st floore, 4th cross, PWD Road, Ramrao layout, Khriguppe, BSK 3rd stg, Bengluru-85",12.55486,77.324687
K S Layout,2017,2 wheeler theft,1/2/2017,7:00:00 PM,"NO, 234, 3rd cross, C.T.bed. T.R.nagar,bengluru-28",12.554873,77.334984
Basavanagudi,2018,Robbery,6/4/2018,8:45 AM,"No, 159, 4th cross, T.R.nagar",12.554905,77335970
K G Nagar,2018,2 wheeler theft,23/10/2018,14:30 PM,"No-26 B .6th Bmain,balaji layout,ck achuktu,BSK 3rd stg, Bengluru-85,",12.55492,77.333266
K G Nagar,2018,2 wheeler theft,19/03/2018,21:30 PM,"tyagaraj nagara, co oparetive bank, 43A bus stop,kreguppe,BSK 3rd stg, Bengluru-85,",12.554996,77.331239
Jayanagar,2016,2 wheeler theft,19/12/2016,5:45:00 PM,"Infront of No.47, Poornima Nivas, 3rd Cross, Hosakerehalli Extn, BSK 3rd Stage,
Bengaluru City, Karnaka, 560085",12.555043,77.322021
K S Layout,2016,4 Wheeler Theft,14/11/2016,10:30,"Near House, 6th cross,, Hosakerehalli, BSK 3rd stage, Bengaluru City, Karnaka,
560085",12.555043,77.322021
K G Nagar,2017,2 wheeler theft,25/04/2017,4:30:00 PM,"No, 23/14, 7th main, Revuno layout,BSK 3rd stg, Bengluru-85",12.555056,77331320
C K Achuktu,2017,Chain Snatching,25/11/2017,17:50PM,"No, 485, 3rd main, 3rd cross, K.S. Narasimahasawmy park, BSK 3rd stg, Bengluru-85",12.555075,77325708
Basavanagudi,2018,Robbery,30/10/2018,11:15 AM,Vidyapeeta Circal,12.555104,77.335841
C K Achuktu,2016,2 wheeler theft,13/03/2016,12:30:00 PM,"Opp Bank Of Baroda m 9th Main,Jayanagara 4th Block",12.555156,77.350063
Subramanyapura,2019,Assault,06/05/2019,10:00,"INFRONT OF HOUSE
NO-107/15, 25TH CROSS,
6TH BLOCK JAYANAGAR,
Bengaluru City",12.555156,77.350063
K G Nagar,2018,2 wheeler theft,5/10/2018,14:00 PM,"No-167,4th cross,C T bed,T R nagara,BSK 3rd stg, Bengluru-28,",12.555196,77.335237
C K Achuktu,2016,2 wheeler theft,8/2/2016,2:10:00 PM,"INFRONT OF MY DENTAL CLINIC, 31st CROSS, 11tH MAIN,4th BLOCK, JAYANAGAR",12.555288,77.350521
Subramanyapura,2018,Assault,11/02/2018,2:30,"PARKING PLACE
NEAR JAYANAGAR
CHURCH, JAYANAGAR
4TH BLOCK, Bengaluru",12.555288,77.350521
K G Nagar,2018,2 wheeler theft,18/08/2018,15:00 PM,"No-71,2nd east main,ITI layout,BSK 3rd stg, Bengluru-85,",12.555313,77.332362
K G Nagar,2018,2 wheeler theft,27/08/2018,11:00:00 AM,"No-40 ,2nd main,ittamadu,BSK 3rd stg, Bengluru-85,",12.55536,77.332481
Jayanagar,2015,2 wheeler theft,6/6/2015,7:00:00 PM,"Infront of No.994, 3rd Main, Hosakerehalli, BSK 3rd stage, Bengaluru City,
Karnaka, 560085",12.555403,77.322021
K G Nagar,2018,2 wheeler theft,4/6/2018,9:00:00 AM,"No-230,3rd cross,C T bed,T R nagara,BSK 3rd stg, Bengluru-28,",12.555417,77.335237
Basavanagudi,2015,Chain Snatching,11/6/2015,9:30,"10th Cross and 1st Main Junction, Byrappa Garden, BSK 3rd Stage, Bengaluru
City, Karnaka, 560085",12.555468,77.325223
Basavanagudi,2015,Chain Snatching,22/05/2015,21:45:00,"Infront of No.784, 8th Cross, Byrappa Garden, BSK 3rd Stage, Bengaluru City,
Karnaka, 560085",12.555485,77.325253
Basavanagudi,2015,Chain Snatching,22/03/2015,20:50:00,"Infront of SOFA Store, Wer Tank Road, Near NCERT Junction, Bengaluru City,
Karnaka, 560085",12.555522,77.324131
K G Nagar,2017,2 wheeler theft,28/07/2017,7:30:00 PM,"No, 25, Anagha, 4th cross, 5th main, papaiah garden, BSK 3rd stg, Bengluru-85",12.555542,77.334934
C K Achuktu,2016,2 wheeler theft,22/01/2016,1:30:00 PM,"Parking Place 8th F Main,Jayanagara 4th Block",12.555585,77.35006
Subramanyapura,2017,Assault,07/12/2017,1:50,"Mayyas Hotel,
Jayanagar 4th Block,
Bengaluru City",12.555585,77.35006
V V Puram,2015,Assault,02/02/2015,22:00:00,"No:274 swayam Car office 80 Feet Road, Srinivasa Nagara, Bengaluru City,",12.5556,77.3338
K G Nagar,2018,2 wheeler theft,6/1/2018,2:00:00 PM,"no-147, 6th cross, 5th main, 3rd block, TR nagar , BSK 3rd stg, Bengluru-85",12.555631,77.335275
K G Nagar,2018,2 wheeler theft,21/05/2018,9:00:00 AM,"NO-02/01,11TH CROSS,3RD BLOSK, T R nagara,BSK 3rd stg, Bengluru-85,",12.555662,77.33564
