Police Station,Year,Type,Date,Time,Place,Latitude,Longitude
Basavanagudi,2016,Robbery,26/08/2016,5:30,"Anuragha Photo Studio Near, BT road, Shankarapura B'lore-04",12.95641368,77.57027585
Jayanagar,2019,2 wheeler theft,26/09/2019,11:30:00 AM,"Infront of No 56, 5th main, 6th cross, chamarajpet, bangalore.",12.95644,77.56345
Jayanagar,2019,2 wheeler theft,4/12/2019,8:30:00 PM,"5th main, chamarajpet, bangalore-18",12.95644,77.56345
K S Layout,2015,Ordinary Theft,29/12/2015,9:15,"NO.193/26, 27th CROSS,6th BLOCK , JAYANAGARA",12.95645,77.786586
Girinagar,2017,2 wheeler theft,21/04/2017,8:25:00 PM,"Infront of No.1399, South End E Road, Jayanagar 9th Block, Bengaluru City,
Karnaka, 560078",12.9565601,77.5651606
Banashankari,2018,Chain Snatching,29/10/18,10:30,"Shivashankarappa circle near, Near bus stand, KR Road, B-lore",12.95673846,77.57548011
Jayanagar,2015,2 wheeler theft,30/07/15,12:00:00 AM,"KIMS hospital store, kr road, vv puram, b-lore",12.95673846,77.57548011
Jayanagar,2017,2 wheeler theft,24/02/17,6:10:00 PM,"parking place, kims residency quarters, vv puram, b-lore",12.95673846,77.57548011
Jayanagar,2017,2 wheeler theft,17/07/17,12:10:00 PM,"parking place, kims hospital, b-lore",12.95673846,77.57548011
Puttenahalli,2015,Ordinary Theft,04/07/15,16:00,"near cash counter, new OPD, KIMS hospital, b-lore",12.95673846,77.57548011
Puttenahalli,2015,Ordinary Theft,13/11/15,12:30,"near bus stand, kims hospital, kr road, vv puram, b-lore",12.95673846,77.57548011
Puttenahalli,2015,Ordinary Theft,11/12/15,15:00,"KIMS hospital, KR road, b-lore",12.95673846,77.57548011
V V Puram,2017,Assault,15/02/17,13:30,"rajya okkaligara bhavana, kr road, vv puram, b-lore",12.95673846,77.57548011
V V Puram,2017,Assault,15/02/17,14:00,"rajya okkaligara bhavana, kr road, vv puram, b-lore",12.95673846,77.57548011
Puttenahalli,2015,Ordinary Theft,21/01/15,18:10,"room no 4, 1st floor, dept.of prascodontics, KIMS hospital, b-lore",12.9567385,77.5754801
Puttenahalli,2018,Ordinary Theft,02/01/18,17:00,"near cash counter, A block, kims hospital, kr road, B-lore",12.95674373,77.57442724
Jayanagar,2018,2 wheeler theft,11/12/2018,10:30:00 AM,"ICICI Bank Opp, Vehicle Parking Place, BT road, Shankarapura, B'lore-04",12.95682,77.56796
Puttenahalli,2015,Ordinary Theft,27/08/2015,15:00,"BMTC Bus Root No-21, BT road, Uma Talkies Bustop, Shankarapura B'lore-04",12.95682,77.56796
Puttenahalli,2015,Ordinary Theft,7/10/2015,12:15,"Bus root No-45(B), Uma There opp, BT road, Shankarapura B'lore-04",12.95682,77.56796
Puttenahalli,2015,Ordinary Theft,11/10/2015,15:00,"Bus root No-60(A), Ramakrishna Ashrama Bus stop, BT road, Shankarapura B'lore-04",12.95682,77.56796
Puttenahalli,2016,Ordinary Theft,20/07/2016,15:00,"Opp ICICI Bank, BT Road, Shankarapura, B'lore-04",12.95682,77.56796
Puttenahalli,2017,Ordinary Theft,17/03/2017,14:30,"Near Vishalmart, 5th Main Chamarajpet, B'lore-04",12.95682,77.56796
Puttenahalli,2017,Ordinary Theft,19/11/2017,18:00,"No-3, Charted Ambaprasad Apartment, BT road Shankarapura, B'lore-04",12.95682,77.56796
Basavanagudi,2018,Robbery,13/01/18,11:00,"Infront of medicare hospital Service road, VV Puram, B-lore",12.95683284,77.57444924
Jayanagar,2017,2 wheeler theft,16/12/17,10:30:00 AM,"opp medicare hospital, k r road, vv puram, b-lore",12.95683284,77.57444924
Jayanagar,2017,2 wheeler theft,21/12/17,11:30:00 AM,"near x-ray dept. b block, kims hospital, b-lore",12.95683284,77.57444924
Puttenahalli,2017,Ordinary Theft,07/10/17,17:30,"kims hospital, lbf road, b-lore",12.95683284,77.57444924
Puttenahalli,2018,Ordinary Theft,13/01/18,13:00,"SS Temple road, near foot ph, kr road, vv puram, B-lore",12.95683284,77.57444924
Jayanagar,2019,2 wheeler theft,5/10/2019,8:45:00 PM,"5th main, chamarajpet, bangalore-18",12.95685,77.56051
Jayanagar,2015,2 wheeler theft,18/07/15,11:30:00 AM,"Near BIT, vv puram, b-lore",12.95685038,77.57390456
Jayanagar,2016,2 wheeler theft,6/7/2016,4:30:00 PM,"infront of kims hospital mortury, vv puram, b-lore",12.95685038,77.57380458
Puttenahalli,2015,Ordinary Theft,22/06/15,15:00,"Near BIT College, KIMS HOSPITAL, kr road, b-lore",12.95685038,77.57380458
Puttenahalli,2015,Ordinary Theft,18/08/15,11:00,"near kims hospital, k r road, b-lore",12.95685038,77.57380458
Puttenahalli,2017,Ordinary Theft,17/02/17,12:30,"chennai to kalasipalya bus stand, kalasipalya, b-lore",12.95685038,77.57380458
V V Puram,2016,Assault,13/09/16,21:00,"LBF Road, near kims hospital, vv puram, b-lore",12.95685038,77.57009534
V V Puram,2016,Assault,20/11/16,9:30,"Near muneshwara temple, opp BIT College, KR road, VV Puram, B-lore",12.95685038,77.57380458
V V Puram,2018,Assault,25/12/2018,17:30,"NO.99, 11th cross, 5th main, nanjambha agrahara, kg nagar, bangalore.",12.95689834,77.55926598
Jayanagar,2015,2 wheeler theft,5/3/2015,11:00:00 AM,"no 52/12-14 1st flr 5th main, shrinivasa kalayana mantapa back side, chamaraj pete b-18",12.95695346,77.56145099
K S Layout,2017,Ordinary Theft,05/05/2017,18:15,"Syndice bank, 5th main, chamarajpet, bangalore.",12.95695346,77.56145099
K S Layout,2017,Ordinary Theft,02/03/2017,14:30,"Opp, vishal mart, 5th main, chamarajpet, bangalore.",12.956997,77.564332
K S Layout,2018,Ordinary Theft,22/10/2018,16:00,"No. 68/01, 5th main, 6th cross, chamarajpet, bangalore.",12.956997,77.564332
V V Puram,2016,Assault,06/04/2016,22:50,"No. 95/4, 6th main, chamarajpet, bangalore.",12.956997,77.564332
V V Puram,2017,Assault,16/12/2017,11:30,"Opp, Astin college, 5th main, chamarajpet, ban-18",12.956997,77.564332
Banashankari,2017,Chain Snatching,16/07/2017,21:30hrs,"no 52/8 A cross puttanna chetti road, chamaraj pete b-18",12.957,77.5624
K S Layout,2019,Ordinary Theft,21/03/2019,9:00,"IN BMTC bus stop, Astin college bus stop, 5th main, chamarajpet, bangalore.",12.957028,77.565483
Jayanagar,2015,2 wheeler theft,17/03/2015,6:15:00 PM,"chamaraj pete, burial ground , b-18",12.957033,77.564308
Jayanagar,2015,2 wheeler theft,28/03/2015,3:00:00 PM,"no 10/1 th cross, 5th main, devanth char street, chamaraj pete b-18",12.957033,77.564308
Jayanagar,2015,2 wheeler theft,8/8/2015,3:30:00 PM,"no 150 5th main, 7th cross, dt street c pete , b-18",12.957033,77.564308
K S Layout,2017,Ordinary Theft,26/04/2017,18:15,"No.95/4, 2nd floor, 6th main, chamarajpet, bangalore.",12.957033,77.564308
K S Layout,2019,Ordinary Theft,22/03/2019,17:30,"In BMTC bus, Near Ramamandir bus stop, 5th main, chamarajpet, bangalore.",12.957045,77.562861
Jayanagar,2019,2 wheeler theft,16/02/2019,6:50:00 PM,"Near venlak hospital road, 5th main, chamarajpet, bangalore.",12.95706,77.56589
K S Layout,2018,Ordinary Theft,24/07/2018,10:45,"5th main, chamarajpet, bangalore.",12.95707,77.56642
Puttenahalli,2015,Ordinary Theft,11/01/15,15:15,"veenus hair salun shop, diagnal road, vv puram, b-lore",12.9570854,77.5789789
Puttenahalli,2015,Ordinary Theft,12/01/15,15:30,"vasavi condiments, market road, near sajjan rao circle, vv puram, b-lore",12.9570854,77.5789789
K S Layout,2019,Ordinary Theft,16/02/2019,18:50,"Venlak Hospital Near, 5th Main, chamarajpet, bangalore.",12.95709,77.56445
Basavanagudi,2018,Robbery,13/01/2018,5:00,"No-11/1 (193) Chaithanya, 5th Main road, Shankarapura B'lore-04",12.95722,77.57187
Puttenahalli,2018,Ordinary Theft,29/11/2018,15:00,"Near Karnaka Bank, 5th Main Chamarajpet, B'lore-04",12.95722,77.57187
V V Puram,2017,Assault,13/09/2017,17:30,"Inside of Premises of bangalore city institute Shankarapuram, B'lore-04",12.95722,77.57187
V V Puram,2017,Assault,29/12/2017,14:00,"Celebre Helpcare Opp, 5th Main, Chamarajpet, B'lore-04",12.95722,77.57187
Puttenahalli,2015,Ordinary Theft,22/01/15,14:30,"near sri venkeshwara banana leaves shop, 5th main, chamarajapet, b-lore",12.95728569,77.57009534
Subramanyapura,2016,Assault,8/9/2016,,"In Front of House
No-204, 12th C' Cross, 16th
Main, JP Nagar 2nd Phase,
Bengaluru City,
Karnaka-560078",12.9573631,77.5344595
Subramanyapura,2016,Assault,18/09/2016,2:31,"Medical Center, Beside
SLV Hotel, East End Circle,
Bengaluru City,
Karnaka",12.9573655,77.5672906
Puttenahalli,2017,Ordinary Theft,17/06/17,17:00,"infront of indian bank, 5th main, chamarajapet, b-lore",12.95737612,77.57143232
V V Puram,2016,Assault,16/12/16,19:30,"No 14, room no 13, sri nilaya mens PG, 1st floor, shivaganga mutt road, chamaraja pet, b-lore",12.9575774,77.57160569
V V Puram,2019,Assault,05/05/19,18:30,"Near muneshwara temple, KR road, VV Puram, B-lore",12.95763109,77.57330916
V V Puram,2019,Assault,22/04/19,15:30,"3rd main, near supreme tranport foot ph, NT Pet, B-lore",12.95769586,77.56837184
Jayanagar,2016,2 wheeler theft,26/02/16,12:00:00 AM,"Near bharh petrol bunk, briyand square, mysore road, B-lore",12.95769586,77.56837184
Jayanagar,2016,2 wheeler theft,1/6/2016,12:00:00 AM,"foot ph, nandini milk booth near, market road, vv puram, B-lore",12.95774238,77.57438783
Jayanagar,2015,2 wheeler theft,6/16/2015,,"opp jinke park ge , chamaraj pete b-18",12.95776309,77.55560342
Jayanagar,2017,2 wheeler theft,24/07/2017,6:00:00 PM,"Jenki Park Near, jenki park Main Road, Chamarajpet, Bangalore.",12.95776309,77.55560342
V V Puram,2016,Assault,18/04/2016,0:05,"Opp, Panduranga vittal temple, jenki park road, chamarajpet, bangalore.",12.95776309,77.55560342
K S Layout,2015,4 Wheeler Theft,27/11/2015,18:00,"TR. mill , 5th main, chamaraj pete b/18",12.9578264,77.55941741
K S Layout,2016,4 Wheeler Theft,02/09/2016,17:15,"Opp. TR Mill 5th Main Chamarajpet, Bangalore.",12.9578264,77.55941741
K S Layout,2018,Ordinary Theft,01/10/2018,14:30,"udaya bhanu kala sangha, lions club opp, kg nagar, bangalore",12.9578264,77.55941741
V V Puram,2017,Assault,18/05/17,11:00,"Near makkala kuta, pmk road, b-lore",12.95786067,77.57201881
Banashankari,2019,Chain Snatching,12/3/2019,17:30,"Near Brindavana Hospital, 4th main, Chamarajapet, B-lore",12.9579316,77.56937036
V V Puram,2017,Assault,06/03/17,13:30,"Near slv hotel,chamarajapet, b-lore",12.95800986,77.56918437
Jayanagar,2017,2 wheeler theft,17/11/17,12:00:00 AM,"near lakshmi narayana temple, sitaphi agrahara, nt pet, b-lore",12.95801501,77.56948559
Jayanagar,2017,2 wheeler theft,12/1/2017,,"near ste bank of india chamarajpet, b-lore",12.95801501,77.56948559
Puttenahalli,2018,Ordinary Theft,29/11/18,15:00,"Victoria hospital, Dental parking place, B-lore",12.95801501,77.56948559
Siddapura,2018,Kidnap,8/8/2018,11:30,"No 242, BOSO HOUSE, 4th cross, 4th main, chamarajapet, B-lore",12.95801501,77.56948559
Jayanagar,2015,2 wheeler theft,20/01/15,3:30:00 PM,"No 241, 4th main, chamarajapet, b-lore",12.9582975,77.5696155
Girinagar,2016,2 wheeler theft,19/10/2016,4:15:00 PM,"Infront Off No.503/34,3rd floor, 46th cross, Jayanagar 5th block, Bengaluru City,
Karnaka, 560078",12.9583931,77.6133147
Banashankari,2018,Chain Snatching,30/05/18,16:30,"Near BMC, KR Road, B-lore",12.95862417,77.57448411
V V Puram,2017,Assault,21/09/17,10:30,"Infront of kote venkaramana temple, kr road, chamarajapet, b-lore",12.95862417,77.57448411
Jayanagar,2017,2 wheeler theft,18/12/17,10:30:00 AM,"No 266, 3rd main, chamarajapet, cindyce bank opp, b-lore",12.95877669,77.56990642
Jayanagar,2015,2 wheeler theft,14/05/15,12:30:00 PM,"infront of house no 13, 2nd cross, 3rd main, chamarajapet, b-lore",12.95882913,77.57007146
Jayanagar,2016,2 wheeler theft,18/10/16,11:30:00 AM,"near house no 12, 3rd main, chamarajapet, b-lore",12.95882913,77.57007146
Jayanagar,2019,2 wheeler theft,1/7/2019,11:15:00 AM,"Infront of st.lukes church, PMK Road, Chamarajapet, B-lore",12.95882913,77.57161241
Puttenahalli,2015,Ordinary Theft,25/02/15,12:00,"infront of rameshwara temple, 4th main, chamarajapet, b-lore",12.95882913,77.57007146
Puttenahalli,2015,Ordinary Theft,20/03/15,17:50,"near canara bank, 2nd main, chamarajapet, b-lore",12.95882913,77.57007146
Puttenahalli,2015,Ordinary Theft,19/06/15,12:10,"sindice bank, 3rd main, chamarajapet, b-lore",12.95882913,77.57007146
Puttenahalli,2016,Ordinary Theft,29/02/16,11:45,"infront of rameshwara temple, 3rd main, chamarajapet, b-lore",12.95882913,77.57007146
Siddapura,2017,Kidnap,21/03/17,18:00,"No 242, BOSO HOUSE, 4th cross, 4th main, chamarajapet, B-lore",12.95882913,77.57007146
V V Puram,2019,Assault,12/09/19,12:30,"BDCC Bank, Chamarajapet, 5th main, B-lore",12.95882913,77.57007146
Jayanagar,2018,2 wheeler theft,29/11/18,11:15:00 AM,"Infront of house No 13/1, 3rd main, 2nd cross, chamarajapet, B-lore",12.95883684,77.57132446
Jayanagar,2019,2 wheeler theft,22/06/19,11:30:00 AM,"Infront of 253/1, 3rd main, Chamarajapet, B-lore",12.95883684,77.57132446
Jayanagar,2015,2 wheeler theft,21/08/15,12:00:00 AM,"infront of sub register office, 3rd main, chamarajapet, b-lore",12.95885752,77.57000986
Banashankari,2017,Murder,27/11/2017,11:00,"#7/1,1st main, 7th cross,
Padmanabha nagara,
Bengaluru City,",12.958864,77.638363
Siddapura,2015,Kidnap,27/03/15,14:15,"Govt.PU College, PMK Road, Chamarajapet, B-lore",12.95889589,77.57254008
Jayanagar,2016,2 wheeler theft,5/9/2016,12:30:00 PM,"shivashankarappa circle, chamarajapet, b-lore",12.95889589,77.57254008
Jayanagar,2019,2 wheeler theft,8/7/2019,1:30:00 PM,"Infront of raghavendra swamy temple, sitaphi agrahara, NT Pet, B-lore",12.95910534,77.57007146
Jayanagar,2015,2 wheeler theft,7/4/2015,12:00:00 AM,"parking place, RSM pvt.ltd, 5th main, chamarajapet, b-lore",12.9591802,77.5716622
Hanumantha Nagar,2017,2 wheeler theft,15/03/2017,5:00:00 PM,Near Hopcoms Parking Place Hosur Road Bengaluru.,12.959314,77.590934
Jayanagar,2017,2 wheeler theft,14/04/17,12:30:00 PM,"infront of royal concord school, shivaganga mutt road, 1st main, chamarajapet, B-lore",12.95934993,77.56939864
Jayanagar,2016,2 wheeler theft,12/2/2016,12:00:00 AM,"Foot ph, near om sai baba PG, 1st main, 1st cross, chamarajapet, B-lore",12.95934993,77.56939864
Banashankari,2015,Chain Snatching,22/03/15,9:15,"infront of No 148, mahadeswara building, 5th main, chamarajapet, b-lore",12.9594654,77.57113375
Jayanagar,2019,2 wheeler theft,19/01/19,2:35:00 PM,"PMK Road parking place, chamarajapet, B-lore",12.959545,77.57161241
Jayanagar,2016,2 wheeler theft,4/1/2016,12:00:00 AM,"near makkala kuta park, pmk road, B-lore",12.9595545,77.57161241
Jayanagar,2019,2 wheeler theft,13/09/19,10:30:00 AM,"Behind prakash cefe, AV Road, chamarajapet, B-lore",12.9595545,77.57161241
Siddapura,2018,Kidnap,10/11/2018,11:00,"Play ground, makkala kuta, PMK Road, chamarajapet, B-lore",12.9595545,77.57161241
Puttenahalli,2015,Ordinary Theft,15/07/15,15:45,"BMTC bus stand, makkalakuta, chamarajapet, b-lore",12.9595589,77.5706847
V V Puram,2015,Assault,04/04/15,18:30,"Ambha bhavani juice centre, 1st cross, SLV hotel, chamarajapet, b-lore",12.9595589,77.06847
Puttenahalli,2015,Ordinary Theft,21/12/15,15:00,"near sbm M, av road, chamarajapet, b-lore",12.95961958,77.57226585
Puttenahalli,2016,Ordinary Theft,24/03/16,18:30,"Govt.boys hostel, behind IMA building, chamarajapet, B-lore",12.95961958,77.57226585
Puttenahalli,2016,Ordinary Theft,20/02/16,21:30,"near rayan circle, chamarajapet, b-lore",12.95966544,77.5704065
V V Puram,2018,Assault,27/02/18,16:30,"SLV Hotel, chamarajapet, B-lore",12.95997435,77.56841578
Banashankari,2016,Chain Snatching,8/7/2016,10:30,"BMC Ladies Hostel, opp Tippu sultan palace, chamarajapet, B-lore",12.96020902,77.57035056
Jayanagar,2018,2 wheeler theft,25/08/18,10:15:00 AM,"Royan circle, AV road, chamarajapet, B-lore",12.96020902,77.57035056
Puttenahalli,2019,Ordinary Theft,12/10/19,19:00,"near Food canteen , Victoria hospital, B-lore",12.96028533,77.57261682
V V Puram,2015,Assault,19/07/16,12:45,"Near prakash caffe, chamarajapet, B-lore",12.96036858,77.57074479
Jayanagar,2015,2 wheeler theft,26/08/15,12:00:00 AM,"infront of house no 22/2, 1st cross, 1st main, chamarajapet, b-lore",12.96043466,77.57267
Jayanagar,2018,2 wheeler theft,26/07/18,3:30:00 PM,"Parking place, BIT College, KR Road, B-lore",12.96046307,77.57137206
Puttenahalli,2015,Ordinary Theft,08/01/15,19:00,"Nursing quarters, 1st main, nt pet, b-lore",12.96046307,77.57137206
Puttenahalli,2016,Ordinary Theft,13/04/16,18:45,"BIT College cross road, kr road, b-lore",12.96046307,77.57137206
Siddapura,2015,Kidnap,29/05/15,13:30,"Near BIT College, vv puram, B-lore",12.96046307,77.57137206
V V Puram,2016,Assault,30/12/16,15:00,"No 14, room no 13, sri nilaya mens PG, 1st floor, shivaganga mutt road, chamaraja pet, b-lore",12.96049696,77.56908613
Banashankari,2015,Murder,15/09/15,18:30,"Near maruthi transport, 4th main, nt pet, b-lore",12.96053995,77.57161726
V V Puram,2015,Assault,29/09/15,19:05,"Near indian tyre shop, AV road, Chamarajapet, -bolre",12.96053995,77.57161726
Girinagar,2015,2 wheeler theft,20/08/2015,12:10:00 PM,"In front Of House No 60-2, Jyothi Layout, Jaraganahalli, J.P.Nagar 6h Phase,
Bengaluru City, Karnaka, 560078",12.9607566,77.5045435
Puttenahalli,2016,Ordinary Theft,04/07/16,14:00,"AV Road & 1st cross junction, chamarajapet, B-lore",12.96078292,77.56879496
Puttenahalli,2017,Ordinary Theft,22/01/17,14:10,"near st.theresa school, sulthan road, chamarajpet, b-lore",12.96078292,77.56876496
V V Puram,2016,Assault,25/12/16,11:00,"No 300, darga hajarh sapdar ali sha & darga hajarh shangeer ali sha, av road, B-lore",12.96078292,77.56876496
Jayanagar,2019,2 wheeler theft,18/12/19,12:00:00 AM,"Near chikkapet traffic police stion, PMK Road, Chamarajapet, B-lore",12.96078766,77.5720958
Hanumantha Nagar,2018,2 wheeler theft,17/03/2018,10:00:00 AM,"Infornt of House No
68,Kadirenahally, New
Colony, BSK 2nd stage,
Bengaluru City,",12.961351,77.526137
Puttenahalli,2015,Ordinary Theft,02/04/15,13:30,"near church hospital compound, nt pet, b-lore",12.96140182,77.57205841
V V Puram,2015,Assault,31/05/15,11:30,"Near NT pet, chamarajapet, B-lore",12.96149191,77.57176458
Jayanagar,2017,2 wheeler theft,21/08/17,12:00:00 AM,"parking place, minto hospital, b-lore",12.96149841,77.57173864
Siddapura,2019,Kidnap,15/10/2019,18:20,"No.2, 1st Cross, 11th Main,Ganaphi Temple Road,, Raghavendra Block, T.R
Shamanna Nagara, Bengaluru-560050",12.96153,77.54295
Jayanagar,2016,2 wheeler theft,6/6/2016,2:30:00 PM,"Infront of sainh & company, 2nd main, NT Pet, B-lore",12.96154844,77.57093085
C K Achuktu,2018,2 wheeler theft,5/8/2018,12:00:00 PM,"IN FRONT OF 76/6,
4TH CROSS, 4TH MAIN,
SHAKAMBARI NAGAR
BANASHANKARI,
Bengaluru City,",12.96158,77.59678
V V Puram,2018,Assault,25/03/18,13:15,"Jeeva blood bank, No 43, 2nd main, 1st cross, NT Pet, B-lore",12.96160834,77.57131654
Jayanagar,2018,2 wheeler theft,7/11/2018,10:45:00 AM,"parking place, chikkamagaluru coriour office, 4th main, NT Pet, B-lore",12.96160834,77.57131654
Jayanagar,2019,2 wheeler theft,11/8/2019,10:15:00 AM,"Behind minto eye hospital, 2ndmain, NT Pet, B-lore",12.96160834,77.57131654
Jayanagar,2018,2 wheeler theft,22/03/18,12:00:00 AM,"Parking place, vani vilasa hospital, Victoria hospital campus, B-lore",12.96170594,77.57113689
Siddapura,2018,Kidnap,1/3/2018,11:00,"Vani vilasa hospital, B-lore",12.96170594,77.57113689
Hanumantha Nagar,2018,2 wheeler theft,16/11/2018,4:30:00 PM,"Infront of NO.51, 6th Cross, 32nd Mainroad,, ITI Colony, J P Nagar 1st phase,
Bengaluru City, Karnaka, 560078",12.962112,77.6033269
Jayanagar,2015,2 wheeler theft,7/8/2015,10:30:00 AM,"foot ph near bhagyalakshmi store, 2nd main, nt pet, b-lore",12.96212533,77.57157822
Jayanagar,2018,2 wheeler theft,16/04/18,7:35:00 PM,"Parking place, opp jail ward Victoria hospital campus, B-lore",12.96212533,77.57157822
Jayanagar,2019,2 wheeler theft,24/07/19,2:30:00 PM,"Parking place, infront of old OPD, Victoria hospital, B-lore",12.96212533,77.57157822
Jayanagar,2019,2 wheeler theft,13/08/19,11:45:00 AM,"Parking place, central canteen near, Victoria hospital, B-lore",12.96212533,77.57157822
Jayanagar,2019,2 wheeler theft,23/08/19,9:45:00 AM,"Old OPD, Victoria hospital, B-lore",12.96212533,77.57157822
V V Puram,2019,Assault,22/02/19,16:00,"near MK Traders, 1st main, NT Pet, B-lore",12.96212533,77.57157822
K S Layout,2019,4 Wheeler Theft,22/01/19,10:45,"Infront of Balaji shop, 2nd main, NT Pet, B/lore",12.96212533,77.57157822
Jayanagar,2018,2 wheeler theft,24/05/18,10:30:00 AM,"vani vilasa hospital, Victoria hospital campus, B-lore",12.96212533,77.57157822
Puttenahalli,2015,Ordinary Theft,23/07/15,21:15,"3rd main, nt pet, b-lore",12.96215233,77.57157822
Siddapura,2018,Kidnap,1/2/2018,12:10,"No 242, BOSO HOUSE, 4th cross, 4th main, chamarajapet, B-lore",12.96240552,77.57056907
Siddapura,2018,Kidnap,28/07/18,19:45,"No 242, BOSO HOUSE, 4th cross, 4th main, chamarajapet, B-lore",12.96240552,77.57056907
Jayanagar,2017,2 wheeler theft,5/6/2017,12:00:00 AM,"infront of LIC office 1st main, 1st cross, chamarajapet, b-lore",12.9624382,77.5692513
Jayanagar,2017,2 wheeler theft,18/10/17,6:30:00 PM,"infront of adishakthi chikkannamma temple, sitaphi agrahara, nt pet, b-lore",12.9624382,77.5692513
Jayanagar,2019,2 wheeler theft,9/10/2019,2:30:00 PM,"Infront of vani vilasa Hospital, parking place, victoria hospital, B-lore",12.9624491,77.5729655
Jayanagar,2019,2 wheeler theft,28/11/19,12:00:00 AM,"Infront of food palace, Victoria hospital, B-lore",12.9624491,77.5729655
Jayanagar,2018,2 wheeler theft,8/3/2018,2:15:00 PM,"Infront of bhagya lakshmi super bajar, 2nd main, NT Pet, B-lore",12.96256574,77.57160528
Jayanagar,2018,2 wheeler theft,9/3/2018,10:50:00 AM,"Near vanivilasa hospital entrance parking place, Victoria hospital Campus, B-lore",12.96256574,77.57160528
Jayanagar,2018,2 wheeler theft,24/12/18,3:30:00 PM,"parking place, jail ward, victoria hospital compound, B-lore",12.96256574,77.57160528
Jayanagar,2019,2 wheeler theft,9/5/2019,12:00:00 AM,"C Ward, parking place, Voctoria hospital, B-lore",12.96256574,77.57160528
Jayanagar,2019,2 wheeler theft,10/10/2019,9:30:00 AM,"Infront of centenary building, Victoria hospital, B-lore",12.96256574,77.57160528
Puttenahalli,2019,Ordinary Theft,08/06/19,10:15,"Parking place, victoria hospital, NT Pet, B-lore",12.96256574,77.57160528
Jayanagar,2016,2 wheeler theft,12/7/2016,12:00:00 AM,"infront of Vigneshwara auto consultant, sajjan rao road, vv puram, b-lore",12.96256574,77.57700304
V V Puram,2016,Assault,24/01/16,9:30,"House no 3, 3rd floor, ramayyangar road, vv puram, b-lore",12.96256816,77.57160294
Jayanagar,2015,2 wheeler theft,16/03/15,12:45:00 PM,"infront of no 265, 3rdmain, appajappa agrahara, chamarajapet, b-lore",12.9625684,77.57111123
Jayanagar,2016,2 wheeler theft,17/09/16,1:50:00 PM,"shop no 6, 3rd main, 3rd cross. Nt pet, b-lore",12.9625684,77.57111226
Puttenahalli,2015,Ordinary Theft,01/08/15,21:30,"3rd main, nt pet, b-lore",12.9625684,77.57111226
V V Puram,2016,Assault,07/11/16,10:45,"Appajappa agrahara, behind prakash caffe, chamarajapet, b-lore",12.9625684,77.57111226
Jayanagar,2017,2 wheeler theft,19/05/17,12:00:00 AM,"parking place, victoria hospital, nt pet, b-lore",12.96263068,77.57158931
Jayanagar,2018,2 wheeler theft,12/6/2018,11:15:00 AM,"Near OPD parking place, Victoria hospital campus, B-lore",12.96263068,77.57158931
Jayanagar,2018,2 wheeler theft,14/07/18,12:00:00 AM,"infront of PMSSY hospital parking place, Victoria hospital campus, B-lore",12.96263068,77.57158931
Jayanagar,2016,2 wheeler theft,5/11/2016,1:45:00 PM,"sri lakshmi venkeshwara residency, sitaphi agrahara, b-lore",12.96266135,77.57026712
Puttenahalli,2015,Ordinary Theft,17/02/15,14:30,"west trans logistics no 04, 4th main, nt pet, b-lore",12.96266135,77.57026712
Jayanagar,2017,2 wheeler theft,30/06/17,8:30:00 PM,"infront of house no 246/2, 4th main, chamarajapet, b-lore",12.96273074,77.57051558
Jayanagar,2016,2 wheeler theft,17/11/16,12:00:00 AM,"rajkumar enterprises, 2nd main, nt pet, b-lore",12.96296437,77.57168078
K S Layout,2017,4 Wheeler Theft,21/02/17,12:00,"parking place, infront infosis lab, victoria hospital, b/lore",12.96299087,77.57215462
Jayanagar,2019,2 wheeler theft,16/06/19,10:30:00 AM,"N T Pet 3rd main, B-lore",12.96299087,77.57215462
Puttenahalli,2015,Ordinary Theft,22/10/15,7:00,"1st main, nt pet, b-lore",12.96299087,77.57215462
V V Puram,2016,Assault,21/10/16,13:30,"Near mysore road church, b-lore",12.96328454,77.57056029
Jayanagar,2016,2 wheeler theft,23/03/16,4:30:00 PM,"Foot ph, 4th main, NT Pe, B-lore",12.96328454,77.57056029
Puttenahalli,2016,Ordinary Theft,07/02/16,17:30,"near victoria hospital mortury, b-lore",12.96328454,77.57056029
Puttenahalli,2017,Ordinary Theft,12/02/17,6:00,"mnear tp kylasam circle, av road, nt pet, b-lore",12.96328454,77.57056029
V V Puram,2015,Assault,12/02/15,6:15,"Shiva guest house, 4th main, mysore road, nt pet, b-lore",12.96328454,77.57056029
V V Puram,2015,Assault,12/02/15,6:30,"Shiva guest house, 4th main, mysore road, nt pet, b-lore",12.96328454,77.57056029
V V Puram,2018,Assault,18/02/18,17:30,"Near murchery, victoria hospital, B-lore",12.96328454,77.57056029
V V Puram,2017,Assault,05/01/17,18:00,"govt.college of nursing, victoria hospital, b-lore",12.96330505,77.57243982
Jayanagar,2019,2 wheeler theft,29/05/19,12:00:00 AM,"Infront of vani vilasa Hospital, victoria hospital, B-lore",12.96332603,77.57104599
V V Puram,2015,Assault,10/10/15,0:30,"Near hamam, AV road, Chamarajapet, -bolre",12.96340149,77.56944767
Jayanagar,2019,2 wheeler theft,28/12/19,10:30:00 AM,"Infront of DTDC, Mysore road, NT Pet, B-lore",12.96341,77.57023
